community_board,garden_name,address,size,neighborhood_name,latitude,longitude,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,avg_org_value,avg_rev_value,avg_tot_appropriated
X09,Harding Park Beautification Project,155 Harding Park,1.16,NA,40.807736,-73.857874,Bronx,Parkchester and Soundview,184105,2,30,7,59,2,25,10,29,24,12,69,30,47,23,26,55,32,34,79.7,72,1902324.7391304348,1914136.3333333333,225000
M11,Harlem Rose Garden,4-8 E 129th Street,0.136,NA,40.808821,-73.9401,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M10,Harlem Success Garden - P.S. 175/I.S. 275,116 - 122 West 134th Street,0.25,Harlem,40.813777,-73.942176,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
M10,Harlem Village Green,52 W 129th Street,0.046,Harlem,40.809753,-73.94231,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B03,Hart Street Community Garden,169-171 Hart Street,0.092,Bed-Stuy,40.693662,-73.94457,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B03,Hart to Hart,104-108 Hart Street,0.332,Bed-Stuy,40.693312,-73.947474,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B03,Hattie Carthan Community Garden,654 Lafayette Avenue/363-365 Clifton Place,0.117,Bed-Stuy,NA,NA,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B01,Heckscher Foundation For Children's Garden,134-136 Scholes Street,0.057,Williamsburg,40.708692,-73.944327,Brooklyn,Greenpoint and Williamsburg,199190,61,5,6,26,2,23,10,41,17,9,77,17,33,50,17,48,23,25,81.1,79,576375.8551461245,656460.7420584498,321444.44444444444
B05,Hendrix Street Community Garden (Block Association of Hendrix Street),532 Hendrix Street,0.023,East New York,40.668485,-73.888314,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M11,Herb Garden (111th St. Betterment Association),176 E 111th Street,0.08,East Harlem,40.795069,-73.943106,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
B05,Herbal Garden of East New York,582 - 590 Glenmore Avenue,0.23,East New York,40.674263,-73.888701,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M04,High School For Environmental Studies,444 W 56th Street NY NY 10019,NA,Midtown,40.767791,-73.987531,Manhattan,Clinton and Chelsea,122119,59,6,14,18,3,9,8,45,26,13,81,6,17,78,11,41,10,18,83.1,86,2546139.053617021,3097573.049361702,297500
B05,Highland Park Children's Garden,Jamaica Avenue,0.41,Highland Park,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B02,Hollenback Community Garden,460 Washington Avenue,0.158,Clinton Hill,40.685321,-73.965249,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
M11,Home Depot Community Garden  (St. Mark's Monastery 1),415-421 East 117th Street,0.163,East Harlem,40.79645,-73.934347,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M03,Hope Garden,193 East 2nd Street,0.046,East Village,40.722289,-73.984094,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M09,Hope Steven Garden,1656 Amsterdam Avenue,0.062,Hamilton Heights,40.823414,-73.94895,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,12759603.857142856,12786290.057142857,265000
X06,Hornaday Community Garden (Volky Flower Garden),851 Hornaday Avenue,0.115,NA,NA,NA,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
B16,Howard Garden,750 Howard Avenue,0.219,Brownsville,40.663636,-73.918957,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
B16,Hull Street Community Garden Inc.,196 Hull Street,0.32,Ocean Hill / Brownsville,40.679912,-73.907566,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
B16,Hull Street Playground,145 Hull Street,0.057,Bed-Stuy,40.679465,-73.911615,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
M11,Humacao Community Garden,335 E 108th Street,0.11,East Harlem,40.791109,-73.939592,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
B06,Human Compass Community  Garden Inc.,207-209 Columbia Street,0.073,Red Hook,40.684958,-74.002726,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
M12,I.S. 143 - Penny Harvest Garden,511 & 516 West 182nd Street,0.08,Washington Heights,NA,NA,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,1959184,1959458.2051282052,305833.3333333333
X06,I.S. 193X,1919 Prospect Avenue,0.677,NA,40.843546,-73.889755,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
M12,I.S. 218 - Swindler Cove Garden,Harlem River Drive/Dyckman Street,NA,Washington Heights,NA,NA,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,1959184,1959458.2051282052,305833.3333333333
B11,I.S. 227 - Shallow's School Yard Santuaries,6500 16th Avenue & 65th Street,NA,NA,NA,NA,Brooklyn,Bensonhurst,204829,47,1,39,12,1,20,8,31,26,15,85,26,38,36,23,52,21,26,83.8,65,698422.2228739003,777888.4252199413,210714.2857142857
B05,I.S. 311 - The Essence School,"800 Van Siclen Avenue, Brooklyn, NY 11207",NA,NA,40.66011,-73.885387,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B12,I.S. 62 - The Greening of Ditmas,700 Cortelyou Road,NA,Kensington,40.638686,-73.971651,Brooklyn,Borough Park,201640,63,2,21,13,1,34,9,28,18,10,77,23,45,32,28,64,15,27,84.2,78,1127490.1887323943,1148410.4873239438,204285.7142857143
B01,I.S. 71,215 Heyward Street,NA,Williamsburg,40.703624,-73.953146,Brooklyn,Greenpoint and Williamsburg,199190,61,5,6,26,2,23,10,41,17,9,77,17,33,50,17,48,23,25,81.1,79,576375.8551461245,656460.7420584498,321444.44444444444
M12,I.S. 90 Miracle Sisters Garden,"21 Jumel Place, NY NY 10032",NA,Washington Heights,40.839305,-73.936159,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,1959184,1959458.2051282052,305833.3333333333
B11,I.S. 96,99 Avenue P,NA,NA,40.60754,-73.984661,Brooklyn,Bensonhurst,204829,47,1,39,12,1,20,8,31,26,15,85,26,38,36,23,52,21,26,83.8,65,698422.2228739003,777888.4252199413,210714.2857142857
B08,Imani II Garden (Schenectady Avenue Community Garden),87-91 Schenectady Avenue,0.092,Crown Heights,40.676312,-73.933182,Brooklyn,Crown Heights and Prospect Heights,97130,18,64,3,12,3,20,9,37,22,12,71,16,40,44,21,50,26,33,79.3,84,768592.1428571428,832778.3788819875,287500
X01,Isla Verde Garden,625 Wales Avenue,0.16,NA,40.814909,-73.906522,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
X03,J.H.S. 120,890 Cauldwell Avenue,NA,NA,40.822474,-73.907194,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
B02,J.H.S. 265,101 Park Avenue,2.712,NA,40.696324,-73.97578,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
M11,Jackie Robinson Community Garden,103 East 122nd Street,0.058,NA,40.803013,-73.940152,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X03,Jackson Forest/Morrisania Concerned Citizens,722 & 736 Home Street,0.18,Morrisania,NA,NA,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
X03,Jacqueline Denise Davis Garden,1022-1024 Boston Road (north of E 165th Street),0.223,NA,40.825997,-73.906723,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
X03,Jane Adams Vocational H.S. - 4 Seasons Garden,900 Tinton Avenue,NA,NA,40.821675,-73.903546,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
B03,Jane Bailey Memorial Garden,327-329 Greene Avenue,0.094,NA,40.687596,-73.958223,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X03,Jardin de la Familia,1507 Washington Avenue,0.32,NA,40.837907,-73.903201,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
X03,Jardin la Roca/Rock Garden,160 Elton Avenue,NA,Melrose,NA,NA,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
B05,Jerome Gardens,447 Jerome Street,0.036,NA,40.670461,-73.886004,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B05,Jerry and the Senior Gents of E.N.Y.,349 Schenck Avenue,0.057,East New York,40.672292,-73.888329,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B16,Jes Good Rewards Children's Garden,155 Amboy Street,0.213,Brownsville,40.667016,-73.91396,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
X08,JFK High School - Enchanted Garden,JFK High School 99 Terrace View Avenue,NA,Marble Hill,NA,NA,Bronx,Riverdale and Fieldston,102927,34,12,6,47,2,20,9,28,25,18,79,18,37,45,15,52,24,28,80.9,83,5449732.674418605,5420885.178294574,334000
X12,Jim Mackey Eastchester Road Community Garden,E/S Eastchester Road & N/O E 222nd Street,0.046,NA,NA,NA,Bronx,Williamsbridge and Baychester,156542,6,65,2,25,2,24,10,27,26,13,70,20,48,32,23,57,30,39,81,78,1659034,1655369.707070707,NA
R01,Joe Holzka Community Garden,1161 Castleton Avenue,0.429,NA,40.634234,-74.12114,Staten Island,St. George and Stapleton,181484,38,22,9,30,2,24,10,27,26,13,73,15,48,37,21,51,24,26,79,77,649692.0030959753,633706.334365325,415000
Q08,John Bowne High School,"63-25 Main Street  Flushing, NY 11367",2.296,NA,40.738139,-73.824944,Queens,Hillcrest and Fresh Meadows,156217,31,13,35,18,3,20,10,28,27,15,86,14,37,50,22,54,20,24,83.9,79,2012111.2549800796,1988256.637450199,300000
B06,John Jay High School,"237 7th Avenue.  Brooklyn, NY 11215",0.689,Park Slope,40.669629,-73.979287,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
B03,John the Baptist Community Center Inc.,10 Stuyvesant Avenue,0.076,NA,40.696355,-73.93473,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B05,Jordan Magic Garden - DPR,Belmont Ave & Van Siclen Ave,0.115,East New York,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
X03,Jose Gonzalez House Community Garden,1175 Hoe Avenue,NA,NA,40.827899,-73.890901,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
M10,Joseph Daniel Wilson Memorial Gardens,219 W. 122nd Street,0.06,NA,40.807407,-73.950588,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
M03,Kenkeleba House Garden,212 E. 3rd Street,0.31,East Village,40.722502,-73.982582,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B03,Kosciusko St. Comm. Pk./Learning Center,385-389 Kosciusko Street,0.185,Bed-Stuy,40.692034,-73.93917,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X06,Krystal Community Garden,2085-2093 Vyse Avenue.,0.614,NA,40.843482,-73.88086,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
M11,La Casita,223 E. 119th Street,0.057,East Harlem,40.799606,-73.937894,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M11,La Cuevita Community Garden,71 East 115th Street,0.057,East Harlem,40.798797,-73.944151,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X01,La Finca Del Sur/ South Bronx Farmers,138th & Grand Concourse,0.255,NA,NA,NA,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
B04,La Finea,1036 Flushing Avenue,NA,NA,40.704359,-73.929634,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
X04,La Isla,96-98 W. 163rd Street,0.11,Highbridge,40.832115,-73.929249,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
M07,La Perla Garden,76 W. 105th Street,0.036,Upper West Side,40.798286,-73.962719,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,2592841.5122807017,2611023.3614035086,314375
M03,La Plaza Cultural-Armando Perez,632-650 E. 9th Street,0.64,East Village,40.725815,-73.979248,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M02,LaGuardia Corner Community Garden,511 LaGuardia Place,0.08,Greenwich Village,40.727809,-73.999159,Manhattan,Greenwich Village and Soho,91638,74,2,15,7,3,9,10,42,24,15,91,4,12,84,9,38,4,15,85.8,91,2488090.46275395,2477900.0970654627,267500
X04,Las Casitas Community Garden,1126 - 1140 Woodycrest Avenue,0.19,Highbridge,40.835464,-73.925809,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
X01,Latinos Unidos,427 East 157th Street,0.116,NA,40.821362,-73.914154,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
X05,Learning Tree,1885 University Avenue (behind Calvary Methodist Church),NA,NA,40.852536,-73.913333,Bronx,Fordham and University Heights,136151,1,27,2,69,1,28,12,29,23,8,66,34,46,20,34,65,34,37,79.9,67,1281900,1281900,206500
B03,Lefferts Place Block Association,162 Lefferts Place,0.068,NA,40.6806,-73.957474,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
M11,"Life Spire (CRMD, Inc.)",2015 Lexington Avenue,0.02,Harlem,40.802809,-73.938552,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
B09,Lincoln Road Garden,316 Lincoln Road,0.065,NA,40.661467,-73.952239,Brooklyn,South Crown Heights and Lefferts Gardens,98650,18,69,2,9,2,22,9,30,25,14,77,16,48,35,22,55,32,37,81.2,78,1137490.8153846154,1146408.8153846154,202500
B06,Lincoln-Berkeley Comm. Garden,20 Lincoln Place,0.064,Park Slope,40.677378,-73.978845,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
Q12,Linden Boulevard Community Garden,178th Street & Linden Boulevard,0.013,NA,NA,NA,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
B04,Linden-Bushwick Garden,113 Linden Street,0.244,Bushwick,40.693162,-73.919649,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
M11,Little Blue House,1675 Madison Avenue,0.024,East Harlem,40.796976,-73.947034,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M03,Liz Christy Garden,110 E Houston Street,1.09,Lower East Side,40.723832,-73.991576,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
Q01,Long Island City Roots Community Garden,47th Avenue.,NA,NA,NA,NA,Queens,Long Island City and Astoria,199969,43,10,16,29,2,16,10,41,22,12,78,16,33,50,18,47,19,23,83.4,79,3680614.814516129,3672338.5322580645,558461.5384615385
M03,Los Amigos,221 East 3rd Street,0.061,Lower East Side,40.722453,-73.982423,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M11,Los Amigos Garden,326 Pleasant Avenue,0.045,East Harlem,40.796043,-73.932422,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M03,Lower East Side Ecology Center,213 E. 7th Street,0.15,East Village,40.724508,-73.979851,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M03,Lower East Side People Care,25 Rutgers Street,0.046,Lower East Side,40.712962,-73.990026,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M03,M.S. 131,"100 Hester Street  NY, NY 10002",0.018,Lower East Side,40.716553,-73.993092,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
X11,M.S. 144,2545 Gunther Avenue,0.459,NA,40.863735,-73.83607,Bronx,Morris Park and Bronxdale,116180,24,21,9,45,1,22,9,30,24,14,74,24,44,32,21,55,32,31,79.9,80,1075342.9259259258,1069611.4444444445,NA
Q09,M.S. 210 - YMCA Beacon Center Garden,"93-11 101st Street, Ozone Park, NY 11416",NA,Ozone Park,NA,NA,Queens,Kew Gardens and Woodhaven,148465,18,9,27,41,4,23,9,30,27,11,79,23,43,34,22,55,23,22,82.9,78,1179519.0866666667,1158105.7533333334,304928.5714285714
B08,M.S. 340,227 Sterling Place,NA,Prospect Heights,40.676094,-73.97038,Brooklyn,Crown Heights and Prospect Heights,97130,18,64,3,12,3,20,9,37,22,12,71,16,40,44,21,50,26,33,79.3,84,768592.1428571428,832778.3788819875,287500
B09,M.S. 391 Mahalia Jackson,790 East New York Avenue,NA,NA,40.662447,-73.936382,Brooklyn,South Crown Heights and Lefferts Gardens,98650,18,69,2,9,2,22,9,30,25,14,77,16,48,35,22,55,32,37,81.2,78,1137490.8153846154,1146408.8153846154,202500
B09,M.S. 61 -  Atwell,400 Empire Boulevard.,NA,NA,40.664007,-73.94922,Brooklyn,South Crown Heights and Lefferts Gardens,98650,18,69,2,9,2,22,9,30,25,14,77,16,48,35,22,55,32,37,81.2,78,1137490.8153846154,1146408.8153846154,202500
B03,Madison Community GreenThumb Garden,894 Madison Street,0.057,NA,40.687995,-73.922006,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B04,Madison Square Garden,1262-1264 Madison Street,0.165,NA,40.694952,-73.913174,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
B04,Madison Street Association,974 Madison Street,0.041,NA,40.688959,-73.919063,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
B03,Madison Street Block Association,88-90 Madison Street,0.039,NA,40.684145,-73.955485,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
M09,Maggies Garden,564 West 149th Street,0.075,Washington Heights,40.828472,-73.947418,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,12759603.857142856,12786290.057142857,265000
M11,Maggies Garden (formerly Ebenezer Wesleyan Methodist Church Garden),1574 Lexington Avenue,0.057,East Harlem,40.788624,-73.948933,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M11,Magic Garden,1665-71 Park Avenue,0.207,East Harlem,40.800245,-73.942524,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
Q03,Malcom X Day Care Center,111-26 Northern Boulevard.,0.046,NA,40.757942,-73.858287,Queens,Jackson Heights,179844,11,6,18,64,1,22,9,32,24,12,78,30,43,27,25,59,20,29,84.7,72,4065590.964028777,4075683.2661870504,117500
B08,MaMa Dee's Garden,1397 Bedford Avenue,0.072,Crown Heights,40.675251,-73.953404,Brooklyn,Crown Heights and Prospect Heights,97130,18,64,3,12,3,20,9,37,22,12,71,16,40,44,21,50,26,33,79.3,84,768592.1428571428,832778.3788819875,287500
B05,Manleys Place,2539 Pitkin Avenue,0.28,East New York,40.674461,-73.878498,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
X09,Manor Avenue Seniors Garden,1025 Manor Avenue,0.057,NA,40.824911,-73.875459,Bronx,Parkchester and Soundview,184105,2,30,7,59,2,25,10,29,24,12,69,30,47,23,26,55,32,34,79.7,72,1902324.7391304348,1914136.3333333333,225000
B16,Marcus Garvey Tenants Association,Strauss Street/N/O Pitkin Avenue,0.23,Brownsville,NA,NA,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
M10,Margrichantie Memorial Garden,155-159 W. 133rd Street,0.171,NA,40.813563,-73.943564,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
X10,Maritime Academy @ P.S. 10,"2770 Lafayette Avenue, Bronx, NY 10465",NA,Schuylerville,NA,NA,Bronx,Throgs Neck and Co-op City,121868,30,23,5,40,1,20,9,26,27,18,75,16,50,34,14,45,24,37,81.1,77,2819891.8181818184,2814308.484848485,NA
Q03,McIntosh Neighborhood Assoc.,S/E/C 100th Street & McIntosh Street,0.127,NA,NA,NA,Queens,Jackson Heights,179844,11,6,18,64,1,22,9,32,24,12,78,30,43,27,25,59,20,29,84.7,72,4065590.964028777,4075683.2661870504,117500
Q12,McKinleys Childrens Garden,108-56 Union Hall Street,0.091,Jamaica,40.695304,-73.791536,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
B16,McLeods Community Garden (formerly Powell Street Block Association - Liberty Ave),130 Liberty Avenue,0.257,NA,40.673067,-73.905437,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
X01,Members Group (Dalia Group Garden),724 Courtlandt Avenue,0.057,Melrose,40.820733,-73.917663,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
