community_board,garden_name,address,size,neighborhood_name,latitude,longitude,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,avg_org_value,avg_rev_value,avg_tot_appropriated
X07,Bainbridge Avenue Garden,2974-2980 Bainbridge Avenue,0.066,NA,40.870996,-73.884326,Bronx,Kingsbridge Heights and Bedford,148163,6,18,7,67,1,26,11,31,23,9,70,32,45,23,26,61,33,35,79.4,67,3740352.3928571427,3729102.3928571427,350000
X06,Bathgate Garden,1836 Bathgate Avenue,NA,NA,40.84506,-73.898018,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
R03,Bayview Habitat,Bayview Terrace,0.276,NA,NA,NA,Staten Island,Tottenville and Great Kills,159132,84,1,5,9,1,21,8,26,29,16,89,8,51,41,11,42,26,22,81.3,88,572247.588770865,567703.2610015174,NA
Q14,Beach Channel High School,100-00 Beach Channel Drive,NA,Far Rockaway,40.586066,-73.822624,Queens,Rockaway and Broad Channel,114390,33,40,3,22,2,26,8,25,26,14,71,22,43,35,18,53,32,34,76.5,75,3423594.900763359,3686362.809160305,288166.6666666667
B03,Bed-Stuy Community Garden (Lola Bryant Community Garden),93-95 Malcolm X Avenue,0.073,Bed-Stuy,NA,NA,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B03,Bed-Stuy Farm,404 Decatur Street,NA,NA,40.682166,-73.927115,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X06,Belmont Little Farmers,2483 Belmont Avenue,0.1,Belmont,40.856921,-73.884462,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
B01,Berry Street Garden,301-303 Berry Street,0.137,Williamsburg,40.713449,-73.963827,Brooklyn,Greenpoint and Williamsburg,199190,61,5,6,26,2,23,10,41,17,9,77,17,33,50,17,48,23,25,81.1,79,576375.8551461245,656460.7420584498,321444.44444444444
X04,Bettes Rose Garden,Teller Avenue,NA,NA,NA,NA,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
B05,Big Red Garden,436 Van Siclen Avenue,0.043,East New York,40.669128,-73.889416,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
